type,title,description,source,rank,scrapeid,timestamp,uniquelink
Top Trends,"Greenwood County, South Carolina",White Man Is Accused of Seeking a Hit Man to Lynch His Black…,https://www.facebook.com/topic/Greenwood-County-South-Carolina/103147426391509?source=whfrt&position=1&trqid=6554014769918655084&impressionguid=00DlB786mM3TzhLc2,1,19,5/10/2018 13:04,nytimes.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=4&trqid=6554014774151891258&impressionguid=00DlB786mM3TzhLc2,4,19,5/10/2018 13:04,cnbc.com
Top Trends,North Korea–United States Summit,Trump says he will meet Kim on June 12 in Singapore,https://www.facebook.com/topic/North-KoreaUnited-States-Summit/109213779097035?source=whrt&position=6&trqid=6554014774151891258&impressionguid=00DlB786mM3TzhLc2,6,19,5/10/2018 13:04,thehill.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whfrt&position=3&trqid=6554014769918655084&impressionguid=00DlB786mM3TzhLc2,3,19,5/10/2018 13:04,thehill.com
Top Trends,US Geological Survey,"Hawaii volcano on verge of new eruption that could send ash, sulfur dioxide spewing",https://www.facebook.com/topic/US-Geological-Survey/108131545882056?source=whrt&position=7&trqid=6554014774151891258&impressionguid=00DlB786mM3TzhLc2,7,19,5/10/2018 13:04,usatoday.com
Top Trends,Yale University,Yale officers admonished the white student who called police on a napping black student,https://www.facebook.com/topic/Yale-University/105580046141640?source=whrt&position=5&trqid=6554014774151891258&impressionguid=00DlB786mM3TzhLc2,5,19,5/10/2018 13:04,cnn.com
Top Trends,Yucca Mountain Nuclear Waste Repository,House overwhelmingly passes bill to revive Yucca Mountain licensing,https://www.facebook.com/topic/Yucca-Mountain-Nuclear-Waste-Repository/107980575891786?source=whrt&position=8&trqid=6554014774151891258&impressionguid=00DlB786mM3TzhLc2,8,19,5/10/2018 13:04,reviewjournal.com
Top Trends,Australian Broadcasting Corporation,Expert claims parents should ask babies consent before changing their nappies,https://www.facebook.com/topic/Australian-Broadcasting-Corporation/110264702329659?source=whrt&position=8&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,8,20,5/10/2018 13:14,msn.com
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=5&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,5,20,5/10/2018 13:14,thehill.com
Top Trends,"Greenwood County, South Carolina",White Man Is Accused of Seeking a Hit Man to Lynch His Black…,https://www.facebook.com/topic/Greenwood-County-South-Carolina/103147426391509?source=whfrt&position=1&trqid=6554017346818033159&impressionguid=0aZqEO1qK6zqCRDO4,1,20,5/10/2018 13:14,nytimes.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=4&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,4,20,5/10/2018 13:14,cnbc.com
Top Trends,North Korea–United States Summit,Trump says he will meet Kim on June 12 in Singapore,https://www.facebook.com/topic/North-KoreaUnited-States-Summit/109213779097035?source=whrt&position=9&trqid=6554017351101419299&impressionguid=0aZqEO1qK6zqCRDO4,9,20,5/10/2018 13:14,thehill.com
