Category,Title,Description,TrendLink,Ranking,ScrapeID,TS,Source
Politics,Israel–Gaza Barrier,Israel closes Gaza border crossing damaged by Palestinians,https://www.facebook.com/topic/IsraelGaza-Barrier/143286939022003?source=whfrt&position=1005&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,5,2,5/12/2018 15:19,reuters.com
Politics,Narendra Modi,Polls suggest Modi's BJP may be leading party in India's Karnataka,https://www.facebook.com/topic/Narendra-Modi/108606272497562?source=whfrt&position=1006&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,6,2,5/12/2018 15:19,reuters.com
Politics,North American Aerospace Defense Command,US Air Force jets intercept 2 Russian bombers off Alaska coast,https://www.facebook.com/topic/North-American-Aerospace-Defense-Command/135415036493357?source=whfrt&position=1007&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,7,2,5/12/2018 15:19,foxnews.com
Politics,Mary Fallin,Oklahoma governor signs adoption law that LGBT groups call discriminatory,https://www.facebook.com/topic/Mary-Fallin/108163279204175?source=whfrt&position=1008&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,8,2,5/12/2018 15:19,cnn.com
Politics,Michael Cohen,Mueller probed Cohen's outreach to Ford in 2017: report,https://www.facebook.com/topic/Michael-Cohen/108246732529050?source=whfrt&position=1009&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,9,2,5/12/2018 15:19,thehill.com
Politics,Joint Comprehensive Plan of Action,U.S. wants Germany to halt trade with Iran,https://www.facebook.com/topic/Joint-Comprehensive-Plan-of-Action/105503206150390?source=whfrt&position=1010&trqid=6554791699560732395&impressionguid=0WFNaeQTYsMpuCfWr,10,2,5/12/2018 15:19,foxnews.com
Science and Technology,Cardi B,Cardi B Deletes Her Instagram Account After Responding to Azealia Banks' Insults,https://www.facebook.com/topic/Cardi-B/170124049752438?source=whfrt&position=3001&trqid=6554791699385173282&impressionguid=0SQJg3Y4xriWSXlKJ,1,2,5/12/2018 15:19,billboard.com
Science and Technology,NASA,"NASA sending helicopter to Mars, aiming for an aviation first",https://www.facebook.com/topic/NASA/103086076398533?source=whfrt&position=3002&trqid=6554791699385173282&impressionguid=0SQJg3Y4xriWSXlKJ,2,2,5/12/2018 15:19,cnn.com
Science and Technology,Boston Dynamics,Boston Dynamics' Robot Dog Will Be Available Next Year,https://www.facebook.com/topic/Boston-Dynamics/104049559631265?source=whfrt&position=3003&trqid=6554791699385173282&impressionguid=0SQJg3Y4xriWSXlKJ,3,2,5/12/2018 15:19,wired.com
Science and Technology,World Horse Welfare,Nan shocked by unwanted horse delivery after granddaughter orders pony online,https://www.facebook.com/topic/World-Horse-Welfare/109503792402640?source=whfrt&position=3004&trqid=6554791699385173282&impressionguid=0SQJg3Y4xriWSXlKJ,4,2,5/12/2018 15:19,birminghammail.co.uk
