Entertainment,Stormzy,No 10 defends PM after Stormzy's Grenfell freestyle at Brits,theguardian.com,https://www.facebook.com/topic/Stormzy/280331872458974?source=whfrt&position=5007&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,7,0,Thu Feb 22 15:16:14 2018
Entertainment,Rush Hour,Chris Tucker confirms he and Jackie Chan are working on Rush Hour 4,dailymail.co.uk,https://www.facebook.com/topic/Rush-Hour/104076216295743?source=whfrt&position=5008&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,8,0,Thu Feb 22 15:16:14 2018
Entertainment,Meghan Markle,Meghan Markle and Prince Harry in 'racist' anthrax threat terror,uk.news.yahoo.com,https://www.facebook.com/topic/Meghan-Markle/108113495883162?source=whfrt&position=5009&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,9,0,Thu Feb 22 15:16:14 2018
Entertainment,Brendan Fraser,Brendan Fraser Claims Groping By HFPA President In 2003: Report,deadline.com,https://www.facebook.com/topic/Brendan-Fraser/104076589627724?source=whfrt&position=5010&trqid=6525490414556541434&impressionguid=063EwCjO0qxMyvfm2,10,0,Thu Feb 22 15:16:14 2018
Top Trends,ICE,Trump Says He May Pull Immigration Enforcement From California,msn.com,https://www.facebook.com/topic/ICE/108151185872082?source=whfrt&position=1&trqid=6525491853600951437&impressionguid=04QBqRfRvibcsw9Bx,1,1,Thu Feb 22 15:21:11 2018
Top Trends,Science Advances,Case closed: Oldest known cave art proves Neanderthals were…,latimes.com,https://www.facebook.com/topic/Science-Advances/115762908438183?source=whfrt&position=2&trqid=6525491853600951437&impressionguid=04QBqRfRvibcsw9Bx,2,1,Thu Feb 22 15:21:11 2018
Top Trends,Snapchat,Snap responds to the 1.2 million petition signers who hate the redesign,msn.com,https://www.facebook.com/topic/Snapchat/451051621609562?source=whfrt&position=3&trqid=6525491853600951437&impressionguid=04QBqRfRvibcsw9Bx,3,1,Thu Feb 22 15:21:11 2018
Politics,ICE,Trump Says He May Pull Immigration Enforcement From California,msn.com,https://www.facebook.com/topic/ICE/108151185872082?source=whfrt&position=1001&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,1,1,Thu Feb 22 15:21:12 2018
Politics,Amy Poehler,Amy Poehler tells the NRA what they can do with their Leslie Knope…,usatoday.com,https://www.facebook.com/topic/Amy-Poehler/112295982115984?source=whfrt&position=1002&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,2,1,Thu Feb 22 15:21:12 2018
Politics,National Rifle Association,NRA rejects idea of raising minimum age to buy rifles,cnn.com,https://www.facebook.com/topic/National-Rifle-Association/112094682139061?source=whfrt&position=1003&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,3,1,Thu Feb 22 15:21:12 2018
Politics,Wayne LaPierre,NRA chief accuses Democrats of pushing 'socialist' agenda,cnn.com,https://www.facebook.com/topic/Wayne-LaPierre/108094455880744?source=whfrt&position=1004&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,4,1,Thu Feb 22 15:21:12 2018
Politics,Federal Communications Commission,FCC Orders Net Neutrality To End In April,huffingtonpost.com,https://www.facebook.com/topic/Federal-Communications-Commission/104008902969103?source=whfrt&position=1005&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,5,1,Thu Feb 22 15:21:12 2018
Politics,Jimmy Kimmel,"Kimmel Slams Donald Trump Jr., Conspiracy Theorists for…",msn.com,https://www.facebook.com/topic/Jimmy-Kimmel/1094746700556244?source=whfrt&position=1006&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,6,1,Thu Feb 22 15:21:12 2018
Politics,"Ghouta, Syria",'Hell on earth': UN mulls action in Syria,cnn.com,https://www.facebook.com/topic/Ghouta-Syria/112708625409031?source=whfrt&position=1007&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,7,1,Thu Feb 22 15:21:12 2018
Politics,Naval Base Kitsap,Navy base at Bangor state closed due to threat,seattletimes.com,https://www.facebook.com/topic/Naval-Base-Kitsap/108464649177372?source=whfrt&position=1008&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,8,1,Thu Feb 22 15:21:12 2018
Politics,Claudia Tenney,GOP congresswoman: Many mass murderers ‘end up being…,nypost.com,https://www.facebook.com/topic/Claudia-Tenney/312493532108006?source=whfrt&position=1009&trqid=6525491857738336420&impressionguid=0grpWYjUWXvURLRsZ,9,1,Thu Feb 22 15:21:12 2018
