type,title,description,source,trendlink,rank,scrapeid,timestamp
Entertainment,Cate Blanchett,Blanchett hopes for Cannes equality,bbc.com,https://www.facebook.com/topic/Cate-Blanchett/1415797305301487?source=whfrt&position=5003&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,3,0,2018-05-08T19:09:51.930974
Entertainment,Donald Glover,How Childish Gambino’s ‘This Is America’ Indicts and…,thedailybeast.com,https://www.facebook.com/topic/Donald-Glover/1829392170627205?source=whfrt&position=5004&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,4,0,2018-05-08T19:09:51.930974
Entertainment,Nintendo Switch,Nintendo is finally giving players control over their game saves,cnet.com,https://www.facebook.com/topic/Nintendo-Switch/1236474786425077?source=whfrt&position=5005&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,5,0,2018-05-08T19:09:51.930974
Entertainment,Fortnite,How Fortnite’s Avengers Infinity Gauntlet Mode Works,gamerant.com,https://www.facebook.com/topic/Fortnite/353688017990996?source=whfrt&position=5006&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,6,0,2018-05-08T19:09:51.930974
Entertainment,Clayne Crawford,'Lethal Weapon' Star Clayne Crawford Out as Producers Scramble to Recast,msn.com,https://www.facebook.com/topic/Clayne-Crawford/103077369731888?source=whfrt&position=5007&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,7,0,2018-05-08T19:09:51.930974
Entertainment,Nicki Minaj,Nicki Minaj Announces New Album 'Queen',rollingstone.com,https://www.facebook.com/topic/Nicki-Minaj/1719008861681751?source=whfrt&position=5008&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,8,0,2018-05-08T19:09:51.930974
Entertainment,Kylie Jenner and Travis Scott,Met Gala 2018: Kylie Jenner makes first red carpet appearance since…,yahoo.com,https://www.facebook.com/topic/Kylie-Jenner-and-Travis-Scott/133014886775647?source=whfrt&position=5009&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,9,0,2018-05-08T19:09:51.930974
Entertainment,ESPN+,"UFC, ESPN+ reach multiyear deal for live fights",espn.com,https://www.facebook.com/topic/ESPN/106094522755603?source=whfrt&position=5010&trqid=6553366629565212994&impressionguid=0hmFKHfLV1OFWj4aG,10,0,2018-05-08T19:09:51.930974
Top Trends,"Sykesville, Maryland",Video shows deputy fatally shooting groundhog in Maryland,12newsnow.com,https://www.facebook.com/topic/Sykesville-Maryland/113068225373321?source=whfrt&position=1&trqid=6553369180720176231&impressionguid=0MiRcwje7zIEuObtm,1,1,2018-05-08T19:19:36.326307
Top Trends,Michael Cohen,Mueller's team questions Russian oligarch about payments to Cohen,cnn.com,https://www.facebook.com/topic/Michael-Cohen/109747645711336?source=whfrt&position=2&trqid=6553369180720176231&impressionguid=0MiRcwje7zIEuObtm,2,1,2018-05-08T19:19:36.326307
Top Trends,Bill & Ted,Keanu Reeves and Alex Winter Reteaming for 'Bill & Ted 3',hollywoodreporter.com,https://www.facebook.com/topic/Bill-Ted/106012472763750?source=whfrt&position=3&trqid=6553369180720176231&impressionguid=0MiRcwje7zIEuObtm,3,1,2018-05-08T19:19:36.326307
